Date,Month,Year,Country,City,Perpetrator_group,fatalities
12/29/2020,December,2020,Nigeria,Kayamla,Boko Haram,9
12/29/2020,December,2020,Nigeria,Kayamla,Boko Haram,0
12/29/2020,December,2020,Nigeria,Tungushe,Boko Haram,3
12/28/2020,December,2020,Nigeria,Logomani,Boko Haram,3
12/27/2020,December,2020,Nigeria,Nagu,Unknown,3
12/28/2020,December,2020,Nigeria,Olukitibi,Fulani extremists,1
12/26/2020,December,2020,Cameroon,Unknown,"Return, Reclamation, Rehabilitation (3R)",Unknown
12/26/2020,December,2020,Nigeria,Azare,Boko Haram,2
12/26/2020,December,2020,Nigeria,Khiributu Debiro,Boko Haram,3
12/26/2020,December,2020,Nigeria,Tashon Alade,Boko Haram,2
12/26/2020,December,2020,Nigeria,Shaffa,Boko Haram,3
12/25/2020,December,2020,Cameroon,Kumbo,Separatists,2
12/25/2020,December,2020,Nigeria,Fadan Kagoma,Fulani extremists,0
12/24/2020,December,2020,Nigeria,Katsina Ala,Unknown,5
12/24/2020,December,2020,Nigeria,Pemi,Boko Haram,11
12/24/2020,December,2020,Nigeria,Garkida,Boko Haram,6
12/24/2020,December,2020,Nigeria,Gamboru,Boko Haram,3
12/23/2020,December,2020,Nigeria,Okene district,Unknown,2
12/23/2020,December,2020,Nigeria,Dar,Boko Haram,Unknown
12/21/2020,December,2020,Niger,Taroum,Islamic State in the Greater Sahara (ISGS),18
12/21/2020,December,2020,Nigeria,Malamai,Fulani extremists,Unknown
12/20/2020,December,2020,Nigeria,Funtua,Unknown,Unknown
12/19/2020,December,2020,Nigeria,Dandume district,Fulani extremists,0
12/20/2020,December,2020,Nigeria,Mafa,Boko Haram,5
12/19/2020,December,2020,Nigeria,Danbaure,Fulani extremists,0
12/19/2020,December,2020,Nigeria,Ajiri,Boko Haram,10
12/18/2020,December,2020,Nigeria,Konduga,Boko Haram,4
12/18/2020,December,2020,Nigeria,Garin Kuturu,Boko Haram,1
12/17/2020,December,2020,Nigeria,Kusur,Boko Haram (suspected),0
12/15/2020,December,2020,Ghana,Accra,Unknown,0
12/17/2020,December,2020,Nigeria,Gora Gan,Fulani extremists,7
12/17/2020,December,2020,Nigeria,Funtua district,Unknown,8
12/16/2020,December,2020,Nigeria,Oba,Unknown,1
12/15/2020,December,2020,Nigeria,Ogoja,Fulani extremists,0
12/15/2020,December,2020,Nigeria,Agboughul,Fulani extremists,3
12/14/2020,December,2020,Nigeria,Gumsa,Boko Haram (suspected),Unknown
12/14/2020,December,2020,Nigeria,Zairam,Boko Haram (suspected),4
12/14/2020,December,2020,Cameroon,Kembong,Separatists,0
12/13/2020,December,2020,Cameroon,Dibanda,Unknown,Unknown
12/13/2020,December,2020,Cameroon,Dibanda,Separatists,1
12/12/2020,December,2020,Nigeria,Askira,Boko Haram,3
12/12/2020,December,2020,Cameroon,Babanki,Separatists,0
12/9/2020,December,2020,Nigeria,Shengen,Boko Haram,Unknown
12/12/2020,December,2020,Niger,Toumour,Boko Haram,34
12/11/2020,December,2020,Nigeria,Tse Angbande,Fulani extremists,4
12/11/2020,December,2020,Nigeria,Dikwa,Unknown,4
12/11/2020,December,2020,Nigeria,Kankara,"Fulani extremists,Boko Haram (suspected)",Unknown
12/10/2020,December,2020,Nigeria,Gumsa,Boko Haram,0
12/10/2020,December,2020,Cameroon,Bakarise,Boko Haram,0
12/10/2020,December,2020,Cameroon,Gakara,Boko Haram,0
12/8/2020,December,2020,Ghana,Fomena,Unknown,0
12/7/2020,December,2020,Ghana,Kasoa,Unknown,0
12/6/2020,December,2020,Cameroon,Bamenda,Unknown,0
12/6/2020,December,2020,Cameroon,Momo,Separatists,1
12/4/2020,December,2020,Niger,La Tapoa,Unknown,2
12/4/2020,December,2020,Cameroon,Wemdeley,Boko Haram,1
12/4/2020,December,2020,Cameroon,Ashigashiya,Boko Haram,3
12/1/2020,December,2020,Nigeria,Wang,Fulani extremists,3
12/1/2020,December,2020,Nigeria,Wokilti,Boko Haram,Unknown
12/1/2020,December,2020,Niger,Banizoumbou,Unknown,1
11/28/2020,November,2020,Nigeria,Port Harcourt,Indigenous People of Biafra (IPOB) (suspected),0
11/28/2020,November,2020,Nigeria,Tor-Iorshaer,Jukun militia (suspected),4
11/28/2020,November,2020,Nigeria,Koshobe,Boko Haram,81
11/27/2020,November,2020,Nigeria,Chafa,Boko Haram,13
11/26/2020,November,2020,Nigeria,Unknown,Reformed Niger Delta Avengers (RNDA),0
11/27/2020,November,2020,Nigeria,Kareto,Boko Haram,0
11/25/2020,November,2020,Cameroon,Guidi,Boko Haram,0
11/24/2020,November,2020,Nigeria,Diegi,Fulani extremists,1
11/24/2020,November,2020,Chad,Ngouboua,Boko Haram,4
11/23/2020,November,2020,Nigeria,Ikarama,Niger Delta extremists (suspected),0
11/23/2020,November,2020,Cameroon,Mstseliya,Boko Haram,0
11/25/2020,November,2020,Cameroon,Gabass,Boko Haram,3
11/22/2020,November,2020,Nigeria,Igbatayo,Fulani extremists,0
11/22/2020,November,2020,Cameroon,Yegoua,Boko Haram,0
11/21/2020,November,2020,Nigeria,Lafia,Unknown,1
11/21/2020,November,2020,Nigeria,Pilimari,Boko Haram,6
11/21/2020,November,2020,Nigeria,Unknown,Unknown,Unknown
11/21/2020,November,2020,Nigeria,Unknown,Unknown,Unknown
11/20/2020,November,2020,Nigeria,Dutsen Gari,Unknown,5
11/19/2020,November,2020,Nigeria,Toru Orua,Unknown,1
11/19/2020,November,2020,Cameroon,Douala,Unknown,0
11/18/2020,November,2020,Nigeria,Unknown,Unknown,1
11/18/2020,November,2020,Cameroon,Kissem,Ambazonia Restoration Forces (ARF),3
11/17/2020,November,2020,Nigeria,Gidan Zaki,Fulani extremists,2
11/17/2020,November,2020,Cameroon,Satomi,Boko Haram,1
11/17/2020,November,2020,Nigeria,Banki,Boko Haram,5
11/11/2020,November,2020,Nigeria,Owo,Fulani extremists,0
11/11/2020,November,2020,Nigeria,Miyanti,Boko Haram,2
11/9/2020,November,2020,Cameroon,Livanda,Separatists (suspected),0
11/8/2020,November,2020,Nigeria,Pulka,Boko Haram,Unknown
11/8/2020,November,2020,Nigeria,Gwoza,Boko Haram,1
11/7/2020,November,2020,Nigeria,Karji Kaduna,Fulani extremists,Unknown
11/6/2020,November,2020,Nigeria,Dande,Fulani extremists,4
11/6/2020,November,2020,Cameroon,Liwu La-Malale,Separatists,1
11/5/2020,November,2020,Cameroon,Babessi,Separatists,0
11/4/2020,November,2020,Cameroon,Fundong,Unknown,0
11/4/2020,November,2020,Cameroon,Limbe,Separatists,0
11/3/2020,November,2020,Cameroon,Bamenda,Separatists,0
11/3/2020,November,2020,Cameroon,Kumbo,Ambazonia Restoration Forces (ARF),0
11/2/2020,November,2020,Nigeria,Mallam Fatori,Boko Haram,9
11/1/2020,November,2020,Cameroon,Yaounde,Unknown,0
11/1/2020,November,2020,Nigeria,Takulashi Buladunya,Boko Haram,7
10/31/2020,October,2020,Nigeria,Kunai,Fulani extremists,1
10/30/2020,October,2020,Nigeria,Unknown,Boko Haram,3
10/29/2020,October,2020,Nigeria,Magunguna,Fulani extremists,1
10/28/2020,October,2020,Nigeria,Ado district,Fulani extremists (suspected),2
10/26/2020,October,2020,Nigeria,Kwakwa,Fulani extremists,1
10/24/2020,October,2020,Nigeria,Unknown,Boko Haram,Unknown
10/25/2020,October,2020,Nigeria,Moranti,Boko Haram,8
10/24/2020,October,2020,Nigeria,Unknown,Boko Haram,Unknown
10/25/2020,October,2020,Nigeria,Damboa,Boko Haram,20
10/24/2020,October,2020,Nigeria,Babban Gida,Boko Haram,7
10/24/2020,October,2020,Cameroon,Kumba,Separatists (suspected),8
10/23/2020,October,2020,Cameroon,Bamenda,Unknown,Unknown
10/23/2020,October,2020,Niger,Tera,Unknown,2
10/22/2020,October,2020,Nigeria,Doska,Boko Haram,7
10/21/2020,October,2020,Nigeria,Matori,Unknown,0
10/21/2020,October,2020,Nigeria,Port Harcourt,Indigenous People of Biafra (IPOB),4
10/21/2020,October,2020,Nigeria,Eberi,Indigenous People of Biafra (IPOB),0
